Project Name;Description;Project Link;Technology;Last Updated
graphql-api-graphql-yoga;;https://github.com/ammarisme/graphql-api-graphql-yoga;;Mar 4, 2023
choreo-shcedule-trigger;Ballerina;https://github.com/ammarisme/choreo-shcedule-trigger;Ballerina;Mar 4, 2023
choreo-graphql;;https://github.com/ammarisme/choreo-graphql;;Mar 3, 2023
web-crawler-ballerina;;https://github.com/ammarisme/web-crawler-ballerina;;Feb 28, 2023
samples-apim;Forked from wso2/samples-apim;https://github.com/ammarisme/samples-apim;Shell / Java / JavaScript / Dockerfile / Ballerina;Feb 28, 2023
choreo-demo-react-app;;https://github.com/ammarisme/choreo-demo-react-app;JavaScript / HTML / CSS / Dockerfile / Other / React / Testing Library;Feb 23, 2023
choreo-hackathon;choreo-hackathon;https://github.com/ammarisme/choreo-hackathon;Ballerina;Feb 23, 2023
choreo-samples;Forked from wso2/choreo-samples;https://github.com/ammarisme/choreo-samples;Ballerina / TypeScript / Other / TypeScript;Feb 17, 2023
docs-is;Forked from wso2/docs-is;https://github.com/ammarisme/docs-is;CSS / HTML / JavaScript / Java;Jan 20, 2023
wso2-products;;https://github.com/ammarisme/wso2-products;;Nov 10, 2022
patient-pay-frontend;;https://github.com/ammarisme/patient-pay-frontend;TypeScript / CSS / JavaScript / React / TypeScript / Emotion / ESLint;Oct 11, 2022
patient-pay-backend;;https://github.com/ammarisme/patient-pay-backend;;Oct 10, 2022
hacker-rank-python-challenges;Python challenges from hackerrank.com;https://github.com/ammarisme/hacker-rank-python-challenges;Jupyter Notebook;Sep 13, 2022
unicorn;;https://github.com/ammarisme/unicorn;JavaScript / SCSS / Python / Other;Jul 15, 2022
cq;project cq;https://github.com/ammarisme/cq;JavaScript / SCSS / Other;Jun 10, 2022
fast-api-authserver;;https://github.com/ammarisme/fast-api-authserver;HTML / Python / Other;May 28, 2022
cq-backend;;https://github.com/ammarisme/cq-backend;Python / Makefile / Shell / Dockerfile;May 25, 2022
cq-backend-flask;;https://github.com/ammarisme/cq-backend-flask;Python / Makefile / Shell / HTML / Dockerfile;May 25, 2022
pin-it-already;A project to encourage organizations to peg companies to peg salaries to non-lkr currencies.;https://github.com/ammarisme/pin-it-already;;Mar 25, 2022
etl;;https://github.com/ammarisme/etl;;Feb 5, 2022
dynamic-bi;;https://github.com/ammarisme/dynamic-bi;Python / Other;Feb 5, 2022
export-forecast-NR;Natural Rubber industry forecasts RNN;https://github.com/ammarisme/export-forecast-NR;Jupyter Notebook;May 31, 2020
covid-19;This repository contains codes and datasets relating to my research on data synthesis and machine learning model development to fight covid-19.;https://github.com/ammarisme/covid-19;Jupyter Notebook / Python;May 7, 2020
DataService;;https://github.com/ammarisme/DataService;Jupyter Notebook / C#;May 5, 2020
graph-transformer-epidemology-model;;https://github.com/ammarisme/graph-transformer-epidemology-model;Jupyter Notebook;May 4, 2020
disease-contact-trace;This repository includes codes and data of a concept research on tracking disease clusters using temporal graphs and Graph Neural Networks.;https://github.com/ammarisme/disease-contact-trace;;May 4, 2020
rubber-export-prediction;;https://github.com/ammarisme/rubber-export-prediction;Jupyter Notebook / HTML / TypeScript / JavaScript;Feb 28, 2020
custom-feed;;https://github.com/ammarisme/custom-feed;Jupyter Notebook;Jan 9, 2020
node-sample;;https://github.com/ammarisme/node-sample;JavaScript;Oct 31, 2019
Suicides-and-Unemployment-in-Sri-Lanka;Suicides and Unemployment in Sri Lanka;https://github.com/ammarisme/Suicides-and-Unemployment-in-Sri-Lanka;Python;Oct 11, 2019
survey-on-data-science-skills;A small survey on data science skills using datasets;https://github.com/ammarisme/survey-on-data-science-skills;Python / Jupyter Notebook;Oct 10, 2019
TouristArrivalPredictor;Tourist arrival prediction using RNN and Genetic Algorithm;https://github.com/ammarisme/TouristArrivalPredictor;Python;Oct 7, 2019
HateSpeechDetector;An experiment on alternative algorithms for offensive language detection.;https://github.com/ammarisme/HateSpeechDetector;HTML / Jupyter Notebook;Oct 7, 2019
imammar;;https://github.com/ammarisme/imammar;HTML / CSS / TypeScript / JavaScript;Jan 8, 2019
aws-cloudformation;;https://github.com/ammarisme/aws-cloudformation;Shell;Jan 8, 2019
ecs-refarch-cloudformation;Forked from aws-samples/ecs-refarch-cloudformation;https://github.com/ammarisme/ecs-refarch-cloudformation;Makefile / Go / Dockerfile / Shell;Nov 21, 2018
angular-category-search-box;A simple category search text box based on a tree of categories implemented in a JSON. Using Angular 6.;https://github.com/ammarisme/angular-category-search-box;TypeScript / HTML / JavaScript / CSS;Sep 23, 2018
socketio-angular-chat;A Socket.io and Angular based basic chat application;https://github.com/ammarisme/socketio-angular-chat;TypeScript / HTML / JavaScript / CSS;Sep 19, 2018
angualar-crud-test;A test application using Angular;https://github.com/ammarisme/angualar-crud-test;TypeScript / HTML / JavaScript / CSS;Feb 5, 2018
ZebraSharp;Zebra Test program;https://github.com/ammarisme/ZebraSharp;C# / C++ / C;Jan 24, 2018
Debug-Employee-Management-Test;Debug Employee Management App - For testing;https://github.com/ammarisme/Debug-Employee-Management-Test;CSS / HTML / JavaScript / C# / Python / PHP;Jan 18, 2018
Z-Chat;;https://github.com/ammarisme/Z-Chat;TypeScript / HTML / JavaScript / CSS;Jan 2, 2018
OpenSFA;An Open Source Salesforce Automation System;https://github.com/ammarisme/OpenSFA;JavaScript / HTML / CSS / C# / PowerShell / Python;Jul 3, 2017
OpenShop;An e-commerce website built using ASP.NET MVC.;https://github.com/ammarisme/OpenShop;HTML / JavaScript / C# / CSS / Python / PHP;Jul 2, 2017
Mini-Factory;;https://github.com/ammarisme/Mini-Factory;;Jul 1, 2017
Printing-Business;;https://github.com/ammarisme/Printing-Business;Java;Jul 1, 2017
report-pro;report-prod;https://github.com/ammarisme/report-pro;JavaScript / CSS;Jun 3, 2017
Distributed-Enterprises-and-Services-System-Network;;https://github.com/ammarisme/Distributed-Enterprises-and-Services-System-Network;HTML / JavaScript / C# / CSS / Python / PHP;Jun 3, 2017
Manufacturing-System;;https://github.com/ammarisme/Manufacturing-System;;May 30, 2017
pawn_broker_system;A system for a pawn broker shop;https://github.com/ammarisme/pawn_broker_system;;Nov 16, 2015
thesellerstacksite;;https://github.com/ammarisme/thesellerstacksite;JavaScript / TypeScript / Other / React / Emotion / ESLint;Jun 21
inventory-sync-api;;https://github.com/ammarisme/inventory-sync-api;TypeScript / Other / NestJS / Jest / TypeScript / ESLint / Prettier / Mongoose;Jun 12
inventory-sync-scripts;;https://github.com/ammarisme/inventory-sync-scripts;JavaScript / Dockerfile;Jun 8
flutter_ecom_app;;https://github.com/ammarisme/flutter_ecom_app;Dart / C++ / CMake / HTML / Swift / C / Other;Apr 17
flutter_kiosk;flutter kiosk;https://github.com/ammarisme/flutter_kiosk;Dart / C++ / CMake / HTML / Swift / C / Other;Feb 11
kiosk-dashboard-nextjs;;https://github.com/ammarisme/kiosk-dashboard-nextjs;TypeScript / Other / React / TypeScript / Emotion / ESLint / Prettier;Feb 10
kiosk-socketio;;https://github.com/ammarisme/kiosk-socketio;JavaScript / HTML / Dockerfile / Express;Feb 10
promotions-backend-api-nestjs;;https://github.com/ammarisme/promotions-backend-api-nestjs;TypeScript / JavaScript / Dockerfile / NestJS / Jest / TypeScript / ESLint / Prettier / TypeORM;Feb 10
thesellerstackhomesite;;https://github.com/ammarisme/thesellerstackhomesite;HTML / Hack / JavaScript;Feb 4
retail-promo-platform-react;;https://github.com/ammarisme/retail-promo-platform-react;JavaScript / Other / React / Redux / Prettier / Testing Library;Feb 4
odoo-customization;;https://github.com/ammarisme/odoo-customization;JavaScript / SCSS / Dockerfile;Jan 28
odoo-erp;;https://github.com/ammarisme/odoo-erp;Dockerfile;Jan 24
how-to-run-a-software-company;How to run a Software Company.?;https://github.com/ammarisme/how-to-run-a-software-company;Python;Dec 6, 2023
flutter-app;;https://github.com/ammarisme/flutter-app;;Nov 18, 2023
react-flow-mmap;;https://github.com/ammarisme/react-flow-mmap;TypeScript / CSS / HTML / React / TypeScript;Apr 30, 2023
docs-ei;Forked from wso2/docs-ei;https://github.com/ammarisme/docs-ei;CSS / HTML / JavaScript / Java / Ballerina / Nunjucks;Apr 26, 2023
docs-apim;Forked from wso2/docs-apim;https://github.com/ammarisme/docs-apim;Java / CSS / HTML / Shell / PowerShell / JavaScript / Other;Apr 21, 2023
mi-example-scenarios;;https://github.com/ammarisme/mi-example-scenarios;;Apr 20, 2023
wso2-mi-connector-googlebooks;;https://github.com/ammarisme/wso2-mi-connector-googlebooks;;Apr 19, 2023
github-email-integration;;https://github.com/ammarisme/github-email-integration;Ballerina;Apr 18, 2023
choreo-examples;Forked from wso2-attic/choreo-examples;https://github.com/ammarisme/choreo-examples;HTML / Python / Dockerfile;Apr 13, 2023
wso2-apim-tutorial;;https://github.com/ammarisme/wso2-apim-tutorial;;Mar 27, 2023
wso2-apim-multiarch-tutorials;;https://github.com/ammarisme/wso2-apim-multiarch-tutorials;Java;Mar 23, 2023
wso2-apim-tutorials;A tutorial project to test out WSO2 APIM.;https://github.com/ammarisme/wso2-apim-tutorials;Shell / Dockerfile;Mar 21, 2023
micro-integrattor-samples;;https://github.com/ammarisme/micro-integrattor-samples;;Mar 20, 2023
aws-lamda-api;Repository for Lambda application aws-lambda-dynamo;https://github.com/ammarisme/aws-lamda-api;JavaScript / TypeScript;Mar 11, 2023
graphql-test;;https://github.com/ammarisme/graphql-test;TypeScript / JavaScript / NestJS / Jest / TypeScript / ESLint / Prettier;Mar 11, 2023
react-mindmap;;https://github.com/ammarisme/react-mindmap;JavaScript / HTML / CSS / React / Jest / Webpack / Babel / Styled Components / ESLint / Prettier;Mar 10, 2023
mui-fe;;https://github.com/ammarisme/mui-fe;JavaScript / CSS / HTML;Mar 10, 2023
graphql-api-nestjs;;https://github.com/ammarisme/graphql-api-nestjs;;Mar 4, 2023
